# x_m,y_m,w_tr_right_m,w_tr_left_m
1.1993,-0.2002,1.5945,1.5945
1.2493,-0.2002,1.5914,1.5914
1.2993,-0.2502,1.5914,1.5914
1.3493,-0.3002,1.5914,1.5914
1.3993,-0.3502,1.5914,1.5914
1.4493,-0.4002,1.5914,1.5914
1.4993,-0.4502,1.5914,1.5914
1.5493,-0.5002,1.5914,1.5914
1.5993,-0.5502,1.5811,1.5811
1.6493,-0.6002,1.5700,1.5700
1.6493,-0.6502,1.5914,1.5914
1.6993,-0.7002,1.5914,1.5914
1.7493,-0.7502,1.5914,1.5914
1.7993,-0.8002,1.5914,1.5914
1.8493,-0.8502,1.5914,1.5914
1.8993,-0.9002,1.5914,1.5914
1.9493,-0.9502,1.5914,1.5914
1.9993,-1.0002,1.5914,1.5914
2.0493,-1.0502,1.5914,1.5914
2.0993,-1.1002,1.5914,1.5914
2.1493,-1.1502,1.5914,1.5914
2.1993,-1.2002,1.5811,1.5811
2.2493,-1.2502,1.5700,1.5700
2.2493,-1.3002,1.5914,1.5914
2.2993,-1.3502,1.5914,1.5914
2.3493,-1.4002,1.5914,1.5914
2.3993,-1.4502,1.5914,1.5914
2.4493,-1.5002,1.5914,1.5914
2.4993,-1.5502,1.5914,1.5914
2.5493,-1.6002,1.5914,1.5914
2.5993,-1.6502,1.5914,1.5914
2.6493,-1.7002,1.5914,1.5914
2.6993,-1.7502,1.5914,1.5914
2.7493,-1.8002,1.5914,1.5914
2.7993,-1.8502,1.5914,1.5914
2.8493,-1.9002,1.5914,1.5914
2.8993,-1.9502,1.5914,1.5914
2.9493,-2.0002,1.5914,1.5914
2.9993,-2.0502,1.5914,1.5914
3.0493,-2.1002,1.5914,1.5914
3.0993,-2.1502,1.5811,1.5811
3.1493,-2.1502,1.5700,1.5700
3.1993,-2.2002,1.5811,1.5811
3.2493,-2.2502,1.5914,1.5914
3.2993,-2.3002,1.5914,1.5914
3.3493,-2.3502,1.5914,1.5914
3.3993,-2.3502,1.5700,1.5700
3.4493,-2.4002,1.5811,1.5811
3.4993,-2.4502,1.5914,1.5914
3.5493,-2.5002,1.5914,1.5914
3.5993,-2.5502,1.5914,1.5914
