# x_m,y_m,w_tr_right_m,w_tr_left_m
1.1493,-0.1502,1.6008,1.6008
1.2493,-0.2502,1.5914,1.5914
2.1993,-1.2002,1.5811,1.5811
3.1493,-2.1502,1.5700,1.5700
4.1493,-3.0002,1.5811,1.5811
5.1493,-3.7502,1.5882,1.5882
6.1493,-4.0502,1.5572,1.5572
7.1493,-4.1502,1.6000,1.6000
8.1493,-4.1002,1.6000,1.6000
9.1493,-4.0502,1.5788,1.5788
10.1493,-3.7002,1.5882,1.5882
11.1493,-3.2002,1.5882,1.5882
12.1493,-2.4502,1.5945,1.5945
12.8993,-1.5002,1.5882,1.5882
13.1993,-0.5002,1.5532,1.5532
13.2493,0.4998,1.6000,1.6000
13.1993,1.4998,1.6000,1.6000
12.9493,2.4998,1.5508,1.5508
12.5493,3.4998,1.5882,1.5882
12.3493,4.4998,1.7263,1.7263
12.1993,4.9498,1.9059,1.9059
13.1493,5.5498,1.5811,1.5811
14.1493,6.0498,1.5882,1.5882
14.7493,7.0498,1.5811,1.5811
14.9493,8.0498,1.6000,1.6000
14.8993,9.0498,1.5700,1.5700
14.6993,10.0498,1.5811,1.5811
14.1993,11.0498,1.5692,1.5692
13.5493,12.0498,1.5811,1.5811
12.5993,12.9498,1.5953,1.5953
11.5993,13.1998,1.6000,1.6000
10.5993,13.1498,1.6000,1.6000
9.5993,13.0498,1.6000,1.6000
8.5993,12.9498,1.5890,1.5890
7.5993,12.4998,1.5882,1.5882
6.5993,12.1498,1.6500,1.6500
5.9493,11.7998,1.8682,1.8682
5.3493,12.6998,1.5882,1.5882
4.6993,13.6998,1.5914,1.5914
3.6993,14.4498,1.5882,1.5882
2.6993,14.6998,1.5628,1.5628
1.6993,14.6998,1.5500,1.5500
0.6993,14.5498,1.5811,1.5811
-0.3007,14.1998,1.5882,1.5882
-1.3007,13.7498,1.5811,1.5811
-2.3007,12.9498,1.5914,1.5914
-3.1007,11.9498,1.5953,1.5953
-3.5007,10.9498,1.5660,1.5660
-3.8507,9.9498,1.8111,1.8111
-4.8507,10.0498,1.6568,1.6568
-5.8507,10.0498,1.6008,1.6008
-6.8507,9.6498,1.5945,1.5945
-7.6007,8.6498,1.5882,1.5882
-8.0507,7.6498,1.5890,1.5890
-8.1007,6.6498,1.6000,1.6000
-7.9507,5.6498,1.5660,1.5660
-7.6007,4.6498,1.5882,1.5882
-7.0507,3.6498,1.5953,1.5953
-6.2007,2.6498,1.5811,1.5811
-5.5507,1.6498,1.5692,1.5692
-4.7007,0.7498,1.5953,1.5953
-3.7007,0.2998,1.5977,1.5977
-2.7007,-0.0002,1.5890,1.5890
-1.7007,-0.1502,1.6000,1.6000
-0.7007,-0.0002,1.6101,1.6101
0.2993,0.2498,1.6568,1.6568
1.0993,-0.1002,1.6101,1.6101
